"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"H.R. 5845",https://www.congress.gov/bill/116th-congress/house-bill/5845,"116th Congress (2019-2020)",,"Break Free From Plastic Pollution Act of 2020","Rep. Lowenthal, Alan S. [D-CA-47]",02/11/2020,,,,41,"House - Energy and Commerce, Ways and Means, Transportation and Infrastructure, Foreign Affairs",02/12/2020,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 5694",https://www.congress.gov/bill/116th-congress/house-bill/5694,"116th Congress (2019-2020)",,"Endangered Species Transparency and Reasonableness Act of 2020","Rep. McClintock, Tom [R-CA-4]",01/28/2020,,,,15,"House - Natural Resources",01/28/2020,"Referred to the House Committee on Natural Resources."
"H.R. 5638",https://www.congress.gov/bill/116th-congress/house-bill/5638,"116th Congress (2019-2020)",,"American Sovereignty and Species Protection Act","Rep. Biggs, Andy [R-AZ-5]",01/16/2020,,,,8,"House - Natural Resources",01/21/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5628",https://www.congress.gov/bill/116th-congress/house-bill/5628,"116th Congress (2019-2020)",,"Clean Water Allotment Modernization Act","Rep. Waltz, Michael [R-FL-6]",01/16/2020,,,,14,"House - Transportation and Infrastructure",01/17/2020,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 5594",https://www.congress.gov/bill/116th-congress/house-bill/5594,"116th Congress (2019-2020)",,"EMPOWERS Act of 2020","Rep. Smith, Jason [R-MO-8]",01/13/2020,,,,8,"House - Natural Resources",01/17/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5591",https://www.congress.gov/bill/116th-congress/house-bill/5591,"116th Congress (2019-2020)",,"Critical Habitat Improvement Act","Rep. Johnson, Mike [R-LA-4]",01/13/2020,,,,8,"House - Natural Resources",01/17/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5589",https://www.congress.gov/bill/116th-congress/house-bill/5589,"116th Congress (2019-2020)",,"Blue Carbon for Our Planet Act","Rep. Bonamici, Suzanne [D-OR-1]",01/13/2020,,,,17,"House - Natural Resources, Science, Space, and Technology, House Administration",01/13/2020,"Referred to the Committee on Natural Resources, and in addition to the Committees on Science, Space, and Technology, and House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
"H.R. 5588",https://www.congress.gov/bill/116th-congress/house-bill/5588,"116th Congress (2019-2020)",,"WHOLE Act of 2020","Rep. Newhouse, Dan [R-WA-4]",01/13/2020,,,,12,"House - Natural Resources",01/17/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5585",https://www.congress.gov/bill/116th-congress/house-bill/5585,"116th Congress (2019-2020)",,"Listing Reform Act","Rep. Olson, Pete [R-TX-22]",01/13/2020,,,,10,"House - Natural Resources",01/17/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5580",https://www.congress.gov/bill/116th-congress/house-bill/5580,"116th Congress (2019-2020)",,"Bring ESA Into the 21st Century Act","Rep. Gosar, Paul A. [R-AZ-4]",01/10/2020,,,,8,"House - Natural Resources",01/16/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5579",https://www.congress.gov/bill/116th-congress/house-bill/5579,"116th Congress (2019-2020)",,"LIST Act of 2020","Rep. Gianforte, Greg [R-MT-At Large]",01/10/2020,,,,9,"House - Natural Resources",01/16/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5557",https://www.congress.gov/bill/116th-congress/house-bill/5557,"116th Congress (2019-2020)",,"Threatened Species Protection 
Improvement Act of 2020","Rep. Buck, Ken [R-CO-4]",01/08/2020,,,,8,"House - Natural Resources",01/15/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5550",https://www.congress.gov/bill/116th-congress/house-bill/5550,"116th Congress (2019-2020)",,"PFAS Safe Disposal Act","Rep. Levin, Andy [D-MI-9]",01/07/2020,,,,1,"House - Energy and Commerce",01/07/2020,"Referred to the House Committee on Energy and Commerce."
"H.R. 5544",https://www.congress.gov/bill/116th-congress/house-bill/5544,"116th Congress (2019-2020)",,"American Innovation and 
Manufacturing Leadership Act of 2020","Rep. Tonko, Paul [D-NY-20]",01/07/2020,,,,19,"House - Energy and Commerce",01/08/2020,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 5540",https://www.congress.gov/bill/116th-congress/house-bill/5540,"116th Congress (2019-2020)",,"PFAS Transparency Act","Rep. Delgado, Antonio [D-NY-19]",01/03/2020,,,,10,"House - Transportation and Infrastructure",01/07/2020,"Referred to the House Committee on Transportation and Infrastructure."
"H.R. 5539",https://www.congress.gov/bill/116th-congress/house-bill/5539,"116th Congress (2019-2020)",,"Clean Water Standards for PFAS Act of 2020","Rep. Pappas, Chris [D-NH-1]",01/03/2020,,,,13,"House - Transportation and Infrastructure",01/06/2020,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 5519",https://www.congress.gov/bill/116th-congress/house-bill/5519,"116th Congress (2019-2020)",,"Atmospheric Climate Intervention Research Act","Rep. McNerney, Jerry [D-CA-9]",12/19/2019,,,,0,"House - Science, Space, and Technology",12/19/2019,"Referred to the House Committee on Science, Space, and Technology."
"H.R. 5513",https://www.congress.gov/bill/116th-congress/house-bill/5513,"116th Congress (2019-2020)",,"Affordable Safe Drinking Water Act of 2019","Rep. Kennedy, Joseph P., III [D-MA-4]",12/19/2019,,,,8,"House - Energy and Commerce, Transportation and Infrastructure",12/20/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 5493",https://www.congress.gov/bill/116th-congress/house-bill/5493,"116th Congress (2019-2020)",,"To prohibit the Director of the United States Fish and Wildlife Service from awarding grants to entities that fund or support gross violations of internationally recognized human rights, and for other purposes.","Rep. Bishop, Rob [R-UT-1]",12/19/2019,,,,11,"House - Natural Resources",01/09/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5467",https://www.congress.gov/bill/116th-congress/house-bill/5467,"116th Congress (2019-2020)",,"LOCAL Act of 2019","Rep. Tipton, Scott  R. [R-CO-3]",12/17/2019,,,,7,"House - Natural Resources",01/08/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5445",https://www.congress.gov/bill/116th-congress/house-bill/5445,"116th Congress (2019-2020)",,"Critical Infrastructure Act of 2019","Rep. Stewart, Chris [R-UT-2]",12/17/2019,,,,8,"House - Natural Resources",01/08/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5434",https://www.congress.gov/bill/116th-congress/house-bill/5434,"116th Congress (2019-2020)",,"RPM Act of 2019","Rep. McHenry, Patrick T. [R-NC-10]",12/16/2019,,,,53,"House - Energy and Commerce",12/16/2019,"Referred to the House Committee on Energy and Commerce."
"H.R. 5416",https://www.congress.gov/bill/116th-congress/house-bill/5416,"116th Congress (2019-2020)",,"National Climate Bank Act","Rep. Dingell, Debbie [D-MI-12]",12/12/2019,,,,4,"House - Energy and Commerce, Financial Services, Ways and Means, Agriculture, Transportation and Infrastructure",12/13/2019,"Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials."
"H.R. 5391",https://www.congress.gov/bill/116th-congress/house-bill/5391,"116th Congress (2019-2020)",,"WHERA Act","Rep. Welch, Peter [D-VT-At Large]",12/11/2019,,,,1,"House - Energy and Commerce",12/11/2019,"Referred to the House Committee on Energy and Commerce."
"H.R. 5361",https://www.congress.gov/bill/116th-congress/house-bill/5361,"116th Congress (2019-2020)",,"Safe Drinking Water Assistance Act of 2019","Rep. Blunt Rochester, Lisa [D-DE-At Large]",12/09/2019,,,,1,"House - Energy and Commerce, Science, Space, and Technology",12/09/2019,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
"H.R. 5343",https://www.congress.gov/bill/116th-congress/house-bill/5343,"116th Congress (2019-2020)",,"Hazel M. Johnson Memorial Stamp Act","Rep. Rush, Bobby L. [D-IL-1]",12/06/2019,,,,4,"House - Oversight and Reform",12/06/2019,"Referred to the House Committee on Oversight and Reform."
"H.R. 5341",https://www.congress.gov/bill/116th-congress/house-bill/5341,"116th Congress (2019-2020)",,"Discouraging Frivolous Lawsuits Act","Rep. Rice, Tom [R-SC-7]",12/06/2019,,,,30,"House - Transportation and Infrastructure",12/09/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 5340",https://www.congress.gov/bill/116th-congress/house-bill/5340,"116th Congress (2019-2020)",,"Hazel M. Johnson Congressional Gold Medal Act","Rep. Rush, Bobby L. [D-IL-1]",12/06/2019,,,,3,"House - Financial Services, Foreign Affairs",12/06/2019,"Referred to the Committee on Financial Services, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
"H.R. 5256",https://www.congress.gov/bill/116th-congress/house-bill/5256,"116th Congress (2019-2020)",,"FREEZER Trucks Act of 2019","Rep. Clarke, Yvette D. [D-NY-9]",11/22/2019,,,,4,"House - Energy and Commerce, Transportation and Infrastructure",11/25/2019,"Referred to the Subcommittee on Highways and Transit."
"H.R. 5221",https://www.congress.gov/bill/116th-congress/house-bill/5221,"116th Congress (2019-2020)",,"100% Clean Economy Act of 2019","Rep. McEachin, A. Donald [D-VA-4]",11/21/2019,,,,166,"House - Energy and Commerce",11/21/2019,"Referred to the House Committee on Energy and Commerce."
"H.R. 5193",https://www.congress.gov/bill/116th-congress/house-bill/5193,"116th Congress (2019-2020)",,"Buy America for Drinking Water Extension Act of 2019","Rep. Bustos, Cheri [D-IL-17]",11/20/2019,,,,14,"House - Energy and Commerce",11/20/2019,"Referred to the House Committee on Energy and Commerce."
